CompanyName,Address,Person,PhoneNumber,EmailAddress,Licenses
Erickson-Hall Construction Co.,"500 Corporate Drive, Escondido,CA, 92029",Rachael Gonzalez,760-796-7700,rgonzalez@ericksonhall.com,"A (General Engineering Contractor), B(General Building Contractor), HAZ(Hazardous Substance RemovalCertification)"
Esko Systems inc,"6881 Stanton Ave Ste K, BuenaPark, CA, 90621",Sean Koh,213-214-0101,sean@eskoshade.com,B (General Building Contractor)
European style painting corporation,"928 Berne Drive, P.O. Box 1242,Crestline, CA 92325",STILIANOS AVGENIS,909-333-9597,europeanstylepaint@yahoo.com,C-33 (Painting and Decorating Contractor)
Exclusive Metal Inc.,"14118 Meridian Parkway,Riverside 92518",Alberto  Jauregui,951-943-3948,liz@exclusivemetalinc.com,"C-39 (Roofing Contractor), C-43 (SheetMetal Contractor)"
EXHIBITONE CORPORATION DBA ARIZONA EXHIBITONE,"8945 S Harl Ave., Suite 102Tempe, AZ 85284",Chad Rowley,480-763-1002,crowley@exhibitone.com,C-7 (Low Voltage Systems Contractor)
F C And Sons Roofing Inc,"6508 Clara Street, Bell Gardens,CA, 90201",Fernando Cabral,562-927-2310,fernando@fcnsonsroofing.com,C-39 (Roofing Contractor)
F&H Construction,"1115 E. Lockeford Street, Lodi,CA 95240",Stephen Seibly,209-931-3738,estimating@f-hconst.com,"A (General Engineering Contractor), B(General Building Contractor)"
F.J. Willert Contracting Co.,"1869 Nirvana Avenue, ChulaVista, CA, 91911",Shayne Dahlstrom,619-421-1980,shayne@fjwillert.com,"A (General Engineering Contractor), C-21(Building Moving/Demolition Contractor),HAZ (Hazardous Substance RemovalCertification)"
"FaciliServ, Inc.","14200 Washington Str.,Woodstock, IL, 60098",Sam Cannizzaro,888-963-6526,scannizzaro@faciliserv.com,C-61 (Limited Specialty)
Facilities Solutions Group,"801 Richfield Road, Placentia,CA, 92870",Brenda Puckett,800-265-0439,brenda.puckett@fsgi.com,C-10 (Electrical Contractor)
"Felsen Group, Inc.","20555 Devonshire Street 169,Chatsworth, CA, 91311",Larry Hinkle,805-676-1200,chris@felsengroup.com,"A (General Engineering Contractor), C-39(Roofing Contractor)"
"Final Cleaning Solutions, Inc.","13630 Clark Ave., Bellflower, CA,90706",Anacani Torres,562-716-6169,anacani@finalcleaningsolutionsinc.com,C-61 (Limited Specialty)
Firestone Builders,"751 Rancheros Dr, Ste 9. SanMarcos, CA, 92069",Joe  El-Maasri,760-304-1234,bids@firestonebuilders.com,"A (General Engineering Contractor), B(General Building Contractor)"
First Serve Productions Inc.,"1550 Ridgemore Drive, MeadowVista , CA, 95722",Chanel Johnson,925-202-5228,chanel@firstservepro.com,A (General Engineering Contractor)
"Fordyce Construction, Inc.","9932 Prospect Ave #138Santee, CA 92071, [Enter City],CA, 00000",Amy Crandall,619-449-4272,admin@fordyceconstruction.com,"A (General Engineering Contractor), B(General Building Contractor)"
"Fredricks Electric, Inc.","1185 Linda Vista Drive, Suite H,San Marcos, CA, 92078",Heather Nelson,760-436-9172,accounting@fredrickselectric.com,"C-10 (Electrical Contractor), B (GeneralBuilding Contractor)"
Freedom Audio Visual Specialists LLC,"29310 Vacation Dr, CanyonLake, CA, 92587",Dashiell Spitale,619-905-3876,dash@freedomavs.com,C-7 (Low Voltage Systems Contractor)
Fremont Millwork Co.,"2949 Onyx Ave, Klamath Falls,OR, 97603",Sandy New,541-884-5554,snew@fremontmillwork.com,"C-6 (Cabinet, Millwork and Finish CarpentryContractor)"
G & J Neon Signs Inc,"1405 West Olympic, Montebello,CA, 90640",Timothy Schomer,323-284-4000,info@gjsigns.net,C-45 (Electrical Sign Contractor)
G A ABELL INC DBA PRECISION ELECTRIC CO,"8137 Winter Gardens Blvd,Lakeside , CA, 92040",Melanie Bisher,619-390-2991,estimating@precisionelectricco.com,"A (General Engineering Contractor), B(General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor), C-46 (SolarContractor)"
"GA Technical Services, Inc","1157 E Arrow Hwy Ste 2,Glendora, CA, 91740",Frank Cervantes,909-981-8600,jasmine.cervantes@gatechservices.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor), B (GeneralBuilding Contractor)"
GARCIA PAVING INC,"6713 w rialto avenue, fresno, CA,93723",michael garcia,559-999-6194,mjgarcia@garciapaving.com,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors)"
Geary Floors INC,"349 South Marshall Ave, ElCajon, CA, 92020",Sean  Geary,619-596-1537,sean@gearyfloors.com,C-15 (Flooring and Floor CoveringContractors)
"GEM Industrial Electric, Inc.","16902 Rio Maria Rd., Lakeside,CA, 92040",Douglas MacLachlan,858-486-1758,info@gemindustrialinc.com,"A (General Engineering Contractor), B(General Building Contractor), C-10(Electrical Contractor), C-13 (FencingContractor), C-27 (Landscaping Contractor)"
"Gentry General Engineering, Inc.","320 W. Tropica Rancho Road,Colton, CA 92324",Brenton  Gentry,909-330-1128,gentrygeneral@gmail.com,A (General Engineering Contractor)
Giant Services Inc.,"15353 Anacapa Rd. Suite A,Victorville, CA, 92392",Brian Downs,760-998-2929,estimating@giantpowercomm.com,C-10 (Electrical Contractor)
Global Modular Inc,"1120 Commerce Ave, 25,Atwater, CA, 95301",Adam DeBard,209-676-8029,adebard@gdvi.net,B (General Building Contractor)
Global Power Group,"12060 Woodside Ave., Lakeside,CA, 92040",terese shea,619-579-1221,tshea@gpgpower.com,"A (General Engineering Contractor), B(General Building Contractor), C-10(Electrical Contractor)"
Go JRM Construction Inc,"122 South Green Street ,Tehachapi, CA, 93561",Johnny Macon,661-529-1994,johnny@gojrmconstruction.com,B (General Building Contractor)
"Gold Star Fence, Inc.","1142 Sagebrush Avenue, SanJacinto, CA, 92582",Luis Banuelos,951-305-2736,luis@goldstarfence.net,"C-13 (Fencing Contractor), C-61 (LimitedSpecialty)"
"Golden Bay Fence Plus Iron Works, Inc.","4104 South B Street, Stockton,CA, 95206",Joe Cisneros,209-944-9754,jcisneros@goldenbayfence.com,"A (General Engineering Contractor), B(General Building Contractor), C-10(Electrical Contractor), C-13 (FencingContractor), C-23 (Ornamental MetalContractor)"
"Golden Star Technology, Inc.","12881 166th Street, Cerritos, CA,90703",Dennis Wang,562-345-8711,phillipl@gstes.com,C-7 (Low Voltage Systems Contractor)
"Gorman Roofing Services, LLC","2229 E University Dr, Phoenix,AZ, 85034",Nicole Fonte,602-262-2423,nicolef@gormanroofing.com,"B (General Building Contractor), C-39(Roofing Contractor)"
"GQ Builders, Inc. P.O. Box 1488, Rancho Santa Fe,","CA, 92067",Dmitriy  Zagorodniy,858-756-5001,gqbuilder@gmail.com,B (General Building Contractor)
Great Western Installations,"975 S Hwy 89, Logan, UT, 84321",Sarauna Openshaw,435-245-5055,info@gwpark.com,"B (General Building Contractor), C-61(Limited Specialty)"
"H2I Group, Inc.","17524 Von Karman Ave, Irvine,CA 92614",Mike Kurnik,714-503-0326,mkurnik@h2igroup.com,"C-6 (Cabinet, Millwork and Finish CarpentryContractor), C-61 (Limited Specialty)"
Harmonson Construction,"7257 N Maple Suite 108 Fresno,Ca 93720",Heidi Harmonson,559-269-7952,heidi@harmonsonconstruction.com,"B (General Building Contractor), C-10(Electrical Contractor), C-7 (Low VoltageSystems Contractor)"
Harris Steel Fence Co.,"8728 S San Pedro St, LosAngeles, CA, 90003",Daniel Blanciak,323-751-4104,kanoudi@harrisfenceco.com,C-13 (Fencing Contractor)
"HPS Mechanical, Inc. dba HPS Plumbing Services","3100 E. Belle TerraceBakersifeld, CA  93307",Alma Martinez,661-397-2121,planroom@hpsmechanical.com,"A (General Engineering Contractor), B(General Building Contractor), C-2(Insulation and Acoustical Contractor), C-4(Boiler, Hot Water Heating and SteamFitting Contractor), C-10 (ElectricalContractor), C-16 (Fire ProtectionContractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), C-34 (Pipeline Contractor), C-36 (Plumbing Contractor), C-42 (SanitationSystem Contractor), C-43 (Sheet MetalContractor), C-46 (Solar Contractor), HAZ(Hazardous Substance RemovalCertification)"
HSCC,"12101 Lakeside Ave, Lakeside,CA, 92040",Garett Hostetler,619-631-7983,estimating@hsccbuilders.com,"A (General Engineering Contractor), B(General Building Contractor), C-8(Concrete Contractor)"
"Infinity Drywall Contracting, Inc.",237 Glider Circle,Suzanne  Garcia,714-634-2255,suzanne@infinitydw.com,"C-9 (Drywall Contractor), C-35 (Lathing andPlastering Contractor), B (General BuildingContractor)"
"Inland Building Construction Companies, Inc.","323 S. Sierra Way, SanBernardino, CA, 92408",Lori Cardoza,909-884-6276,prequals@ibccinc.com,"B (General Building Contractor), C-2(Insulation and Acoustical Contractor), C-8(Concrete Contractor), C-10 (ElectricalContractor), C-61 (Limited Specialty)"
Innov8 Industries,"3298 Call Drive, RIVERSIDE, CA,92503",David Diaz,951-888-0007,david@innov8tech.net,"B (General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor)"
Innovative Construction Solutions,"575 Anton Blvd, Suite 850, CostaMesa , CA, 92626",Hirad Emadi,714-893-6366,estimating@icsinc.tv,"A (General Engineering Contractor), HAZ(Hazardous Substance RemovalCertification), C-21 (BuildingMoving/Demolition Contractor)"
"Innovative Fence, Inc.","8815 Somerset Bl, Paramount,CA, 90723",Jose Gutierrez,562-408-6000,innovativefence@sbcglobal.net,C-13 (Fencing Contractor)
INTEGRATED DEMOLITION AND,"REMEDIATION INCORPORATED421 E Cerritos Ave, Anaheim, CA92805",Shrenik Vora,714-340-3333,info@idrdemo.com,"A (General Engineering Contractor), B(General Building Contractor), C-21(Building Moving/Demolition Contractor), C-22 (Asbestos Abatement Contractor), HAZ(Hazardous Substance RemovalCertification), ASB (Asbestos Certification)"
"Interpipe Contracting, Inc.","10870 Hartley Road, Santee, CA,92071",Ron Smith,619-596-7733,info@interpipecontracting.com,"C-34 (Pipeline Contractor), C-36 (PlumbingContractor)"
Ireland Sound Systems Inc.,"1232 Monte Vista Ave., Suite 7,Upland, CA, 91786",Christin Gainey,909-294-2802,christin@irelandsoundsystems.com,"C-7 (Low Voltage Systems Contractor), B(General Building Contractor), C-10(Electrical Contractor)"
"J B Bostick Company, LLC","2870 E. La Cresta Avenue,Anaheim, CA, 92806",Gregory Beckner,714-238-2121,greg@jbbostick.com,C-12 (Earthwork and Paving Contractors)
J B HOME SERVICES INC dba BOYCE'S ROOFING AND REPAIR,"4083 Oceanside Blvd., Suite D,Oceanside, CA, 92056",James Boyce,760-583-9326,admin@boycesroofing.com,C-39 (Roofing Contractor)
Johnson Controls Fire Protection LP,"3568 Ruffin Road, San Diego,CA, 92123",Beatrice Fortney,858-633-9100,beatrice.clair.fortney@jci.com,"C-10 (Electrical Contractor), C-16 (FireProtection Contractor)"
JOHNSON FLOORING INC,"11643 RIVERSIDE DRIVE SUITE119, LAKESIDE, CA, 92040",KEVIN  JOHNSON,619-596-2580,kevin@johnsonflooring.net,C-15 (Flooring and Floor CoveringContractors)
"JPI Development Group, Inc.","41205 Golden Gate Circle,Murrieta, CA, 92562",Maricza Baltazar,951-973-7680,estimating@jpidevelopment.com,"A (General Engineering Contractor), B(General Building Contractor), C-2(Insulation and Acoustical Contractor), C-8(Concrete Contractor), C-16 (Fire ProtectionContractor), C-34 (Pipeline Contractor), C-36 (Plumbing Contractor)"
"K F Y UNITED MECHANICAL CONTRACTORS, INC., dba UNITED","MECHANICAL CONTRACTORS794 E. LOS ANGELES AVE., SIMIVALLEY, CA 93065",JEREMY YABLAN,805-583-1010,jeremy@umcontractors.com,"B (General Building Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
Kerns Inc A California Corporation,"17560 Catalpa St, Hesperia, CA,92345",Shelly Waggoner,760-949-8800,estimating@kernscon.com,"A (General Engineering Contractor), B(General Building Contractor), C-34(Pipeline Contractor), C-36 (PlumbingContractor)"
"Kirk Paving, Inc.","8722 WINTER GARDENS BLVD,Lakeside, CA, 92040",Jon Kirk,619-938-9958,jon@kirkpaving.us,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors)"
KITCOR CORPORATION,"9959 Glenoaks Blvd, Sun Valley,CA, 91352",Ruby Soriano,818-767-4800,ruby@kitcor.com,"C-43 (Sheet Metal Contractor), C-43 (SheetMetal Contractor)"
Knorr Systems Int'l,"2221 Standard Ave., Santa Ana,Ca 92707",Cindy Faust,714-754-4044,cindyf@knorrsystems.com,C-61 (Limited Specialty)
"KYA Services, LLC","1800 E Mcfadden Ave, SantaAna, CA 92705",Victoria Johnson,714-659-6477,prequal@thekyagroup.com,"B (General Building Contractor), C-15(Flooring and Floor Covering Contractors),C-61 (Limited Specialty), A (GeneralEngineering Contractor), C-10 (ElectricalContractor), C-33 (Painting and DecoratingContractor), C-20 (Warm-Air Heating,Ventilating and Air-Conditioning Contractor)"
"Los Angeles Air Conditioning, Inc.","1714 Lindbergh Court, La Verne,CA, 91750",Reina Buelna,909-596-7077,bpath@laair.net,"C-4 (Boiler, Hot Water Heating and SteamFitting Contractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), B (General Building Contractor)"
M A STEVENS CONSTRUCTION INC,"125 EAST 17TH STREET,NATIONAL CITY, CA 91950",Mark A. Stevens,619-477-7893,dstevens@mastevens.com,"B (General Building Contractor), A (GeneralEngineering Contractor)"
MAGNETAR US INC,"4319 N Brawley Ave, Fresno, CA,93722",Greg Hardin,559-477-4137,Greg.Hardin@magnetar.us,"B (General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor)"
"Marquez Cable Systems, InC","10759 Forest Street, Santa FeSprings, CA, 90670",Joe  Marquez,562-946-5505,bbarker@marquezcable.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor)"
MC Painting,"504 Jones Road, Oceanside, CA,92058",Sarah Reeder,760-599-8000,sarah@mc-painting.com,C-33 (Painting and Decorating Contractor)
McClanahan Inc. DBA Hartmanaire,"12 Gardenia, Lake Forest, CA,92630",Cindy McClanahan,951-479-6855,info.hartmanaire@gmail.com,C-61 (Limited Specialty)
McKinney Contracting Inc. DBA McKinney Painting,"8861 Balboa Ave. Suite E, SanDiego, CA, 92123",Jason McKinney,619-606-2009,jennifer@mckinneycontracting.com,"B (General Building Contractor), C-33(Painting and Decorating Contractor), C-61(Limited Specialty)"
"McWil Sports Surfaces, Inc.","135 W. 155th St., Gardena, CA,90248",Jason Ganes,310-701-2245,jason@mcwilss.com,C-15 (Flooring and Floor CoveringContractors)
MERINO LANDSCAPE INC,"2416 Paso Robles ct, ChulaVista, CA, 91914",CHRIS MERINO,619-348-9932,chris@merinolandscape.com,C-27 (Landscaping Contractor)
Metro Structural Painting,"1007Crestwood Dr., South SanFrancisco, CA, 94080",Frank Tsiglieris,415-516-3490,mstructuralp@gmail.com,C-33 (Painting and Decorating Contractor)
MM Energy and Lighting,"2601 Hughes Ln, Bakersfield,CA, 93304Manuel Martinez",Rodriguez,818-691-4290,mmartinez@mmeandl.com,C-10 (Electrical Contractor)
MOKA Engineering and Construction,"3315 Montgomery Dr., Unit 312,Santa Clara, CA, 95054",Sean Mostavi,415-890-4505,e.mostavi@mokaconstruction.com,"A (General Engineering Contractor), B(General Building Contractor)"
Montgomery Hardware Co.,"8777 Lanyard Court, RanchoCucamonga, CA, 91730",Caroline Ruzzamenti,909-204-4000,estimating@montgomeryhardware.com,"B (General Building Contractor), C-28 (Lockand Security Equipment Contractor), C-61(Limited Specialty)"
MSH Development Group Inc,"26981 Tanager Ln, Valencia, CA,90025",Magdy Hamid,310-461-6515,magdy@mshgrp.com,"A (General Engineering Contractor), B(General Building Contractor), C-61 (LimitedSpecialty)"
Muhlhauser Steel Inc,"25825 Adams Ave, Murrieta, CA,92562",Chris Muhlhauser,909-877-2792,officeadmin@msisteel.com,C-51 (Structural Steel Contractor)
"Murals for Schools, Inc.","16802 Stonehaven Circle,Huntington Beach, CA, 92649",Barry Bettger,714-330-5701,bbettger@gmail.com,C-33 (Painting and Decorating Contractor)
"National Electric Works, Inc.","4440 Rainier Ave #101, SanDiego, CA, 92120",Estimating Department,619-528-2880,estimating@nationalelectricworks.com,C-10 (Electrical Contractor)
New Power Contracting For Building Mechanicals,"21021 VANOWEN STREET APTD204, CANOGA PARK, CA,91303",Salam Sabbagh,818-739-9196,saba4s@hotmail.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-36 (PlumbingContractor)"
"Nexgen Building Group, Inc.","2810 Via Orange Way, Suite C.,Spring Valley, CA, 91978",Josh Kueber,619-670-4466,josh@nexgenbuilding.com,"A (General Engineering Contractor), B(General Building Contractor), C-9 (DrywallContractor)"
NEXT LEVEL H V A C ENERGY MANAGEMENT SYSTEMS,"9834 Norwalk Blvd, Santa FeSprings, CA, 90670",Jacob Burrola,213-703-4453,bookings@nextlevelems.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
NextMod Inc,"PO BOX 2008, Chino Hills, CA91709",Melina Corona,909-740-3120,melina.corona@skccompany.com,B (General Building Contractor)
"NKS Mechanical Contracting, INC","2971 E. White Star Ave,Anaheim, CA, 92806",Namir Shmara,714-281-5123,asiyah@nksmechanical.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), B (GeneralBuilding Contractor)"
Ohno Construction Company,"8884 Jurupa Road , JurupaValley, CA, 92509",Sid Fontenot,619-278-8824,mail@ohnoconstruction.com,"A (General Engineering Contractor), B(General Building Contractor), C-12(Earthwork and Paving Contractors), C-27(Landscaping Contractor), C-61 (LimitedSpecialty)"
P A THOMPSON ENGINEERING COMPANY INC dba THOMPSON,"ENGINEERING2205 Fleetwood Drive, Riverside,CA, 92509",Kristine Clifford,951-784-7270,bids@thompsone.com,"C-7 (Low Voltage Systems Contractor), C-10 (Electrical Contractor)"
Pacific Contractors Group Inc,"19025 Parthenia St, Unit #122,Northridge, CA, 91324",Setmir Qose,818-993-5899 x0,pacificcontractorsinc@gmail.com,"B (General Building Contractor), C-33(Painting and Decorating Contractor), C-35(Lathing and Plastering Contractor)"
Pacific Lighting Management Inc,"1638 E Edinger Ave Ste B, SantaAna, CA, 92705",Felicity Sundsboe,714-972-1982,bp@plem.co,"C-10 (Electrical Contractor), C-31(Construction Zone Traffic ControlContractor)"
"Pacific Play Systems, Inc.","3288 Grey Hawk Ct, Carlsbad,CA, 92010",SALINA TULADHAR,760-599-7355,salina@pacificplayinc.com,"A (General Engineering Contractor), B(General Building Contractor), C-61 (LimitedSpecialty)"
"Pacific West Industries, Inc. dba Pacific West Air Conditioning","1912 W Business Center Drive,Orange, CA, 92867",Teresa Moulton,866-328-2129,teresa.m@pacwestac.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-10 (ElectricalContractor)"
"Painting & Decor, Inc.","1210 N Jefferson St, Ste K,Anaheim, CA, 92807",John  Buchner,949-888-2565,bidding@paintinganddecor.com,"C-33 (Painting and Decorating Contractor),B (General Building Contractor)"
Paradigm Mechanical Corp.,"10641 Prospect Ave. Santee, CA92071",Melinda Dicharry,619-456-4562,sales@pmccontracting.com,"B (General Building Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-36 (PlumbingContractor), C-38 (Refrigeration Contractor)"
"Park Associates, Inc dba Park Planet","415 ELM STREET, RED BLUFF,CA, 96080",Kasanna Coulter,559-341-5768,kasanna@parkplanet.com,C-61 (Limited Specialty)
Partner ESI,"2154 Torrance Blvd. Ste 200,Torrance, CA, 90501",Betsy Miller,602-618-5664,govtservices@partneresi.com,"A (General Engineering Contractor), B(General Building Contractor), HAZ(Hazardous Substance RemovalCertification)"
Pathway Communications LTD,"12740 Danielson Court, Suite E,Poway, CA, 92064",Becky Thurmon,858-324-1036,beckyt@pcomus.com,C-7 (Low Voltage Systems Contractor)
Pavion Corp,"360 Turtle Creek Ct, San Jose,CA, 95125",Jana  Luchini,800-600-3939,jluchini@netronixint.com,"C-10 (Electrical Contractor), C-7 (LowVoltage Systems Contractor)"
"PENNER PARTITIONS, INC.","3501 E LA PALMA AVE,ANAHEIM, CA, 92806",DEBBI POLLARD,714-666-0822,debbi@pennerpartitions.com,C-61 (Limited Specialty)
"Perfection Stainless Fabrication, Inc.","901 Sumner Street, Bakersfield,CA, 93305",Chris Carmignani,661-324-5466,sales@perfectionsf.com,"C-43 (Sheet Metal Contractor), C-61(Limited Specialty)"
Performance Automation,"10633 Roselle Street Suite G, 0,San Diego, CA, 92121",Michael Volf,858-391-6400,michael@pascontrols.com,"B (General Building Contractor), C-7 (LowVoltage Systems Contractor), C-10(Electrical Contractor), C-16 (Fire ProtectionContractor), C-20 (Warm-Air Heating,Ventilating and Air-ConditioningContractor), C-36 (Plumbing Contractor)"
Piana Construction and Painting Inc,"16352 Barneston Street,Granada Hills, CA, 91344",Joseph Papadopoulos,818-488-1740,pianaconstruction@sbcglobal.net,"C-33 (Painting and Decorating Contractor),B (General Building Contractor)"
"Pierre Landscape, Inc.","5455 2nd Street, Irwindale, CA,91706",Steve Andrews,626-587-2121,bids@pierrelandscape.com,"C-27 (Landscaping Contractor), A (GeneralEngineering Contractor)"
Polaris Lighting Associates Inc,"624 Irving Ave, Glendale, CA,91201",Floyd Payne,818-265-0330,floyd@polarisla.com,"C-10 (Electrical Contractor), C-61 (LimitedSpecialty)"
PRECISION AIR BALANCING COMPANY,"1240 N. Jefferson St, Ste H,Anaheim, CA, 92807",Karen Fox,714-630-3796,kfox@precisionairbalance.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-61 (LimitedSpecialty)"
"Preferred Ceilings, Inc.","475 CAPRICORN STREET, Brea,CA 92821, BREA, CA, 92821",Megan Arlow,714-255-9336,megan@preferredceilings.com,"C-2 (Insulation and Acoustical Contractor),B (General Building Contractor), C-10(Electrical Contractor), A (GeneralEngineering Contractor), C-61 (LimitedSpecialty)"
Premier Culinary Solutions Inc. dba Premier Prefabricated,"Equipment1530 S Lewis, Anaheim, CA,92805",Scott Roczey,951-377-3498,scott@premierculinarysolutions.com,C-61 (Limited Specialty)
"Prestige Paving Company, Inc.","14656 Industry Circle, LaMirada, CA, 90638",Brian Beckner,714-888-7555,ar@prestigepavingcompany.com,"A (General Engineering Contractor), C-12(Earthwork and Paving Contractors), C-8(Concrete Contractor), C-32 (Parking andHighway Improvement Contractor)"
Pro Installations Inc dba ProSpectra Contract Flooring,"10948 Willow Court Ste 100 ,San Diego , CA, 92127",Steve  Landreth,858-642-7429,steve.landreth@spectracf.com,"C-15 (Flooring and Floor CoveringContractors), C-54 (Ceramic and MosaicTile Contractor), C-61 (Limited Specialty)"
Pro Services General Contractors,"333 orange ave, 14, Coronado,CA, 92118",CHRISTIAN rodriguez,619-410-9373,christian@proservicegc.com,"B (General Building Contractor), C-61(Limited Specialty)"
"Pro-Craft Construction, Inc.","500 Iowa Street, Redlands, CA92373",Jessica Reed,909-790-5222,estimating@procraftconstructioninc.co,"mA (General Engineering Contractor), B(General Building Contractor), C-2(Insulation and Acoustical Contractor), C-34(Pipeline Contractor), C-36 (PlumbingContractor), C-42 (Sanitation SystemContractor), C-16 (Fire ProtectionContractor)"
"Pro-Ex Construction,Inc","3223 Luyung Dr, RanchoCordova, CA, 95742",Pavel Chernyy,916-970-0097,pavel@proexconstruction.com,"B (General Building Contractor), C-33(Painting and Decorating Contractor), C-39(Roofing Contractor)"
Pro-Fab Construction Inc.,"17907 Taylor Ave , Bloomington, CA, 92316",Liliana Cid,909-877-3927,liliana@cidsenterprises.com,"B (General Building Contractor), C-47(Manufactured Housing Contractor)"
PRO-SCREEN INC dba PRO- SCREEN SIGNS AND GRAPHIC,"6093 S. Lincoln Court, FRESNO,CA, 93725",Shannon Ulrich,559-255-8079,shannon@pro-screen.com,C-61 (Limited Specialty)
"Progressive Carpet & Design, inc.","6220 Marindustry Dr. Suite A,San Diego, CA, 92121",Anthony  Gabriola,858-643-1695,progressivecarpet@pcdincsd.com,C-15 (Flooring and Floor CoveringContractors)
PumpMan LLC dba Pumpman SoCal,"5020 Bleecker St, Baldwin Park,CA, 91706",Matthew Conway,626-664-0931,matthew.conway@pumpman.com,"C-36 (Plumbing Contractor), C-61 (LimitedSpecialty)"
"Quality Rebar Inc. P.O. Box 501877, San Diego, CA,",92051,Jessica  Poorman,858-679-3934,jpoorman@qualityrebarinc.com,C-50 (Reinforcing Steel Contractor)
R & D INTERIORS INC dba BUDGET BLINDS OF CLOVIS,"1065 Holland Ave., Clovis, CA,93612",Raymond Deatherage,559-360-7000,redray@sbcglobal.net,C-61 (Limited Specialty)
R L H Fire Protection,"666 Toland Place, SanFrancisco, CA 94124",Dawn Fulton,415-442-4833,dfulton@rlhfp.com,"C-16 (Fire Protection Contractor), C-10(Electrical Contractor), A (GeneralEngineering Contractor)"
"RAC Construction & Engineering, Inc.","5811 Barbarossa Court, SanDiego, CA, 92115",David Shaw,619-454-2484,estimating@racconstruction.biz,"A (General Engineering Contractor), B(General Building Contractor)"
Radonich Corp DBA Cal Coast Telecom,"886 Faulstich Court San JoseCA 95112, San Jose, CA, 95112",Marie Pernick,408-275-8888,marie@cctcom.net,C-7 (Low Voltage Systems Contractor)
"Red Hawk Services, Inc.dba Red Hawk Fence","262 E 1st St, Perris, CA, 92570",Scott Moore,951-657-6400,scott@redhawkfence.com,"A (General Engineering Contractor), B(General Building Contractor), C-61 (LimitedSpecialty), C-13 (Fencing Contractor)"
REED FAMILY ENTERPRISES INC,"31915 RANCHO CALIFORNIASTE 200-132, TEMECULA, CA,92591",MIKE  REED,909-772-5880,rfeinc@live.com,B (General Building Contractor)
RGC General Engineering Inc,"310 Davidson Street, ChulaVista, CA, 91910",Ricardo Cota,619-651-8368,ricardo@rgcge.com,A (General Engineering Contractor)
"Risher Sutherland, Inc. dba United Contractors","334 West Oak Street, SanBernardino, CA, 92401",Jon Christiansen,909-388-7400,jon.christiansen20@gmail.com,"C-43 (Sheet Metal Contractor), C-39(Roofing Contractor), C-51 (Structural SteelContractor)"
Rite-Way Roof Corporation,"15425 Arrow Route, Fontana,CA, 92335",Lisa Mora,909-350-8490,lisa@ritewayroofing.com,"B (General Building Contractor), C-10(Electrical Contractor), C-39 (RoofingContractor), C-43 (Sheet Metal Contractor)"
Rivera Equipment dba Valley Industrial Mechanical,"PO Box 3457, Victorville, CA,92393",Raymond Rivera,760-646-7974,cortney@revim.co,C-36 (Plumbing Contractor)
RND Contractors Inc,"14796 Jurupa Ave #A, Fontana,CA, 92337",Jesse Dunn,909-429-8500,nsauter@rndcontractorsinc.com,"A (General Engineering Contractor), C-51(Structural Steel Contractor)"
Road Works Inc,"303 Short St., Pomona, CA,91768",Nathan Blocker,909-469-5101,rwbids@roadworks.net,C-32 (Parking and Highway ImprovementContractor)
"ROBERTSON INDUSTRIES, INC.","2140 E Cedar Street Tempe, AZ85281",April Tourangeau,800-858-0519,april.tourangeau@playcoresurfacing.co,mC-61 (Limited Specialty)
Rod-West Floor Covering LLC,"15120 Bonavista Ave Unit 103,Santa Fe Springs, CA, 90670",Ever Rodriguez,657-325-4014,floor@rod-west.co,C-15 (Flooring and Floor CoveringContractors)
Rowan Incorporated dba Rowan Electric,"2778 Loker Ave West, Carlsbad,CA, 92010Rowan Electric Prequal",Dept,760-692-0700,prequal@rowanelectric.com,C-10 (Electrical Contractor)
"RTS Solutionz, Inc. dba Solutionz","16751 Knott Avenue, La Mirada,CA, 90638",Ryan Marrs,310-571-1207,rmarrs@@solutionzinc.com,C-7 (Low Voltage Systems Contractor)
Russell Sigler Inc.,"205 South Puente St., Brea, CA,92821",Jeffrey Myers,714-421-2455,jmyers@siglers.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
